nconst,first,last,Rank,category,MOVIE1,MOVIE2,MOVIE3,MOVIE4,MOVIE5
,,,1,SOUND,A Star Is Born,,,,
,,,1,SOUND,Annihilation,,,,
,,,1,SOUND,Avengers: Infinity War,,,,
,,,1,SOUND,Black Panther,,,,
,,,1,SOUND,Bohemian Rhapsody,,,,
,,,1,SOUND,First Man,,,,
,,,1,SOUND,Mission: Impossible - Fallout,,,,
,,,1,SOUND,Ready Player One,,,,
,,,1,SOUND,Solo: A Star Wars Story,,,,
,,,1,SOUND,The Predator,,,,
,,,1,VISUAL EFFECTS,A Wrinkle in Time,,,,
,,,1,VISUAL EFFECTS,Annihilation,,,,
,,,1,VISUAL EFFECTS,Avengers: Infinity War,,,,
,,,1,VISUAL EFFECTS,Black Panther,,,,
,,,1,VISUAL EFFECTS,Christopher Robin,,,,
,,,1,VISUAL EFFECTS,Fantastic Beasts: The Crimes of Grindelwald,,,,
,,,1,VISUAL EFFECTS,First Man,,,,
,,,1,VISUAL EFFECTS,Mortal Engines,,,,
,,,1,VISUAL EFFECTS,Ready Player One,,,,
,,,1,VISUAL EFFECTS,Solo: A Star Wars Story,,,,
,,,1,VISUAL EFFECTS,The Meg,,,,
,,,1,VISUAL EFFECTS,The Nutcracker and the Four Realms,,,,
,,,1,VISUAL EFFECTS,The Predator,,,,
,,,1,VISUAL EFFECTS,Venom,,,,
nm1812656,Luke,Evans,,ACTOR,10x10,,,,
nm1961009,Jason,Maza,,ACTOR,10x10,,,,
nm2196323,Stacy,Hall,,ACTOR,10x10,,,,
nm4637228,Benjamin,Hoetjes,,ACTOR,10x10,,,,
nm4963536,Christian,Meier,,ACTOR,10x10,,,,
nm5609051,John Michael,Morris,,ACTOR,10x10,,,,
nm6013787,Kevin,Matadeen,,ACTOR,10x10,,,,
nm7741792,Mike,Kelson,,ACTOR,10x10,Accident Man,,,
nm8092405,Donovan,Elmore,,ACTOR,10x10,The Mule,,,
nm8811874,Miles,Webb,,ACTOR,10x10,,,,
nm9242094,Jerry,Brown,,ACTOR,10x10,,,,
nm0001209,William,Fichtner,,ACTOR,12 Strong,The Neighbor,Armed,Traffik,
nm0012079,Seth,Adkins,,ACTOR,12 Strong,,,,
nm0524745,Thad,Luckinbill,,ACTOR,12 Strong,,,,
nm0671567,Michael,Peña,,ACTOR,12 Strong,A Wrinkle in Time,Extinction,Ant-Man and the Wasp,Next Gen
nm0836176,Geoff,Stults,,ACTOR,12 Strong,Sierra Burgess Is a Loser,,,
nm1041023,Navid,Negahban,,ACTOR,12 Strong,,,,
nm1165110,Chris,Hemsworth,,ACTOR,12 Strong,Avengers: Infinity War,Bad Times at the El Royale,,
nm1443527,Rob,Riggle,,ACTOR,12 Strong,Midnight Sun,Status Update,Night School,
nm1485637,Numan,Acar,,ACTOR,12 Strong,,,,
nm1821298,Laith,Nakli,,ACTOR,12 Strong,,,,
nm2366674,Yousuf,Azami,,ACTOR,12 Strong,,,,
nm2390252,Fahim,Fazli,,ACTOR,12 Strong,,,,
nm2756670,Kenneth,Miller,,ACTOR,12 Strong,,,,
nm2830118,Ali,Olomi,,ACTOR,12 Strong,,,,
nm2860410,Mustafa,Haidari,,ACTOR,12 Strong,,,,
nm3271473,Austin,Stowell,,ACTOR,12 Strong,Higher Power,The Long Home,,
nm3332884,Austin,Hébert,,ACTOR,12 Strong,Burden,Above Suspicion,Peppermint,
nm3514785,Vincent E.,McDaniel,,ACTOR,12 Strong,,,,
nm4259147,Kenny,Sheard,,ACTOR,12 Strong,,,,
nm4460086,Shvan,Aladdin,,ACTOR,12 Strong,,,,
nm4649116,Ben,O'Toole,,ACTOR,12 Strong,,,,
nm4701431,Peter Malek,Karas,,ACTOR,12 Strong,,,,
nm5218990,Trevante,Rhodes,,ACTOR,12 Strong,Bird Box,The Predator,,
nm5369087,Jahan,Khalili,,ACTOR,12 Strong,,,,
nm5493136,Tommy,Truex,,ACTOR,12 Strong,,,,
nm6637938,Matthew Van,Wettering,,ACTOR,12 Strong,,,,
nm9128965,Arshia,Mandavi,,ACTOR,12 Strong,,,,
nm9563177,Samuel,Kamphuis,,ACTOR,12 Strong,,,,
nm9563178,Timothy,Kamphuis,,ACTOR,12 Strong,,,,
nm0269909,Ray,Fearon,,ACTOR,2036 Origin Unknown,,,,
nm0874851,David,Tse,,ACTOR,2036 Origin Unknown,,,,
nm2189243,Steven,Cree,,ACTOR,2036 Origin Unknown,The Titan,Outlaw King,,
nm3789860,Joe David,Walters,,ACTOR,2036 Origin Unknown,,,,
nm6292937,Neil,Robertson,,ACTOR,2036 Origin Unknown,,,,
nm0069076,Michael,Bellisario,,ACTOR,211,,,,
nm0082870,Velizar,Binev,,ACTOR,211,,,,
nm0131564,Dwayne,Cameron,,ACTOR,211,,,,
nm0362484,Cory,Hardrict,,ACTOR,211,,,,
nm1035854,Ori,Pfeffer,,ACTOR,211,The Angel,,,
nm2000606,Weston Cage,Coppola,,ACTOR,211,,,,
nm2546971,J.R.,Esposito,,ACTOR,211,The Hurricane Heist,,,
nm2551411,Jonathan,Yunger,,ACTOR,211,,,,
nm2694944,Raymond,Steers,,ACTOR,211,,,,
nm3199088,Jason,Francis,,ACTOR,211,,,,
